|     | gender   | race/ethnicity                     | parental level of education   | lunch        | test preparation   |   math score |   reading score |   writing score |   average score |
| 497 | female   | Mixed - White and Black Caribbean  | some college                  | free/reduced | completed          |           59 |              78 |              76 |         71      |
| 498 | female   | White - Irish                      | some high school              | standard     | none               |           66 |              69 |              68 |         67.6667 |
| 499 | male     | Mixed - White and Black African    | some college                  | standard     | none               |           76 |              71 |              72 |         73      |
| 500 | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           74 |              79 |              82 |         78.3333 |
| 501 | female   | White - Irish                      | associate's degree            | standard     | completed          |           94 |              87 |              92 |         91      |
| 502 | male     | White - Any other White background | some college                  | free/reduced | none               |           63 |              61 |              54 |         59.3333 |
| 503 | female   | Mixed - White and Black African    | associate's degree            | standard     | completed          |           95 |              89 |              92 |         92      |
| 504 | female   | Mixed - White and Black Caribbean  | master's degree               | free/reduced | none               |           40 |              59 |              54 |         51      |
| 505 | female   | White - Irish                      | some high school              | standard     | none               |           82 |              82 |              80 |         81.3333 |
| 506 | male     | White - British                    | high school                   | standard     | none               |           68 |              70 |              66 |         68      |
| 507 | male     | White - Irish                      | bachelor's degree             | free/reduced | none               |           55 |              59 |              54 |         56      |
| 508 | male     | White - Any other White background | master's degree               | standard     | none               |           79 |              78 |              77 |         78      |
| 509 | female   | White - Any other White background | bachelor's degree             | standard     | none               |           86 |              92 |              87 |         88.3333 |
| 510 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           76 |              71 |              73 |         73.3333 |
| 511 | male     | White - British                    | some high school              | standard     | none               |           64 |              50 |              43 |         52.3333 |
| 512 | male     | Mixed - White and Black Caribbean  | some high school              | free/reduced | none               |           62 |              49 |              52 |         54.3333 |
| 513 | female   | White - Irish                      | some high school              | standard     | completed          |           54 |              61 |              62 |         59      |
| 514 | female   | White - Irish                      | master's degree               | free/reduced | completed          |           77 |              97 |              94 |         89.3333 |
| 515 | female   | White - Any other White background | some high school              | standard     | completed          |           76 |              87 |              85 |         82.6667 |
| 516 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           74 |              89 |              84 |         82.3333 |
| 517 | female   | Mixed - White and Black African    | some college                  | standard     | completed          |           66 |              74 |              73 |         71      |
| 518 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | completed          |           66 |              78 |              78 |         74      |
| 519 | female   | White - Irish                      | high school                   | free/reduced | completed          |           67 |              78 |              79 |         74.6667 |
| 520 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           71 |              49 |              52 |         57.3333 |
| 521 | female   | White - Any other White background | associate's degree            | standard     | none               |           91 |              86 |              84 |         87      |
| 522 | male     | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | none               |           69 |              58 |              57 |         61.3333 |
| 523 | male     | White - Any other White background | master's degree               | free/reduced | none               |           54 |              59 |              50 |         54.3333 |
| 524 | male     | White - Any other White background | high school                   | standard     | completed          |           53 |              52 |              49 |         51.3333 |
| 525 | male     | Mixed - White and Black African    | some college                  | standard     | none               |           68 |              60 |              59 |         62.3333 |
| 526 | male     | White - Any other White background | some high school              | free/reduced | completed          |           56 |              61 |              60 |         59      |
| 527 | female   | White - Any other White background | high school                   | free/reduced | none               |           36 |              53 |              43 |         44      |
| 528 | female   | Mixed - White and Black Caribbean  | bachelor's degree             | free/reduced | none               |           29 |              41 |              47 |         39      |
| 529 | female   | White - Any other White background | associate's degree            | standard     | none               |           62 |              74 |              70 |         68.6667 |
| 530 | female   | White - Any other White background | associate's degree            | standard     | completed          |           68 |              67 |              73 |         69.3333 |
| 531 | female   | White - Any other White background | some high school              | standard     | none               |           47 |              54 |              53 |         51.3333 |
| 532 | male     | Mixed - White and Black African    | associate's degree            | standard     | completed          |           62 |              61 |              58 |         60.3333 |
| 533 | female   | Mixed - White and Black African    | associate's degree            | standard     | completed          |           79 |              88 |              94 |         87      |
| 534 | male     | White - Irish                      | high school                   | standard     | completed          |           73 |              69 |              68 |         70      |
| 535 | female   | White - Any other White background | bachelor's degree             | free/reduced | completed          |           66 |              83 |              83 |         77.3333 |
| 536 | male     | White - Any other White background | associate's degree            | standard     | completed          |           51 |              60 |              58 |         56.3333 |
| 537 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           51 |              66 |              62 |         59.6667 |
| 538 | male     | Mixed - White and Black African    | bachelor's degree             | standard     | completed          |           85 |              66 |              71 |         74      |
| 539 | male     | White - British                    | associate's degree            | standard     | completed          |           97 |              92 |              86 |         91.6667 |
| 540 | male     | White - Any other White background | high school                   | standard     | completed          |           75 |              69 |              68 |         70.6667 |
| 541 | male     | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | completed          |           79 |              82 |              80 |         80.3333 |
| 542 | female   | White - Any other White background | associate's degree            | standard     | none               |           81 |              77 |              79 |         79      |
| 543 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           82 |              95 |              89 |         88.6667 |
| 544 | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           64 |              63 |              66 |         64.3333 |
| 545 | male     | Mixed - White and Black African    | some high school              | free/reduced | completed          |           78 |              83 |              80 |         80.3333 |
| 546 | female   | White - British                    | some high school              | standard     | completed          |           92 |             100 |              97 |         96.3333 |
| 547 | male     | White - Any other White background | high school                   | standard     | completed          |           72 |              67 |              64 |         67.6667 |
| 548 | female   | White - Any other White background | high school                   | free/reduced | none               |           62 |              67 |              64 |         64.3333 |
| 549 | male     | White - Any other White background | master's degree               | standard     | none               |           79 |              72 |              69 |         73.3333 |
| 550 | male     | White - Any other White background | some high school              | free/reduced | none               |           79 |              76 |              65 |         73.3333 |
| 551 | male     | White - Irish                      | bachelor's degree             | free/reduced | completed          |           87 |              90 |              88 |         88.3333 |
| 552 | female   | White - Irish                      | associate's degree            | standard     | none               |           40 |              48 |              50 |         46      |
| 553 | male     | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           77 |              62 |              64 |         67.6667 |
| 554 | male     | Mixed - White and Black African    | associate's degree            | standard     | none               |           53 |              45 |              40 |         46      |
| 555 | female   | White - Any other White background | some college                  | free/reduced | none               |           32 |              39 |              33 |         34.6667 |
| 556 | female   | White - Any other White background | associate's degree            | standard     | completed          |           55 |              72 |              79 |         68.6667 |
| 557 | male     | White - Any other White background | master's degree               | free/reduced | none               |           61 |              67 |              66 |         64.6667 |
| 558 | female   | White - Irish                      | associate's degree            | free/reduced | none               |           53 |              70 |              70 |         64.3333 |
| 559 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           73 |              66 |              62 |         67      |
| 560 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           74 |              75 |              79 |         76      |
| 561 | female   | White - Any other White background | some college                  | standard     | none               |           63 |              74 |              74 |         70.3333 |
| 562 | male     | White - Any other White background | bachelor's degree             | standard     | completed          |           96 |              90 |              92 |         92.6667 |
| 563 | female   | Mixed - White and Black Caribbean  | some college                  | free/reduced | completed          |           63 |              80 |              80 |         74.3333 |
| 564 | male     | White - Irish                      | bachelor's degree             | free/reduced | none               |           48 |              51 |              46 |         48.3333 |
| 565 | male     | White - Irish                      | associate's degree            | standard     | none               |           48 |              43 |              45 |         45.3333 |
| 566 | female   | Mixed - White and Black African    | bachelor's degree             | free/reduced | completed          |           92 |             100 |             100 |         97.3333 |
| 567 | female   | Mixed - White and Black Caribbean  | master's degree               | free/reduced | completed          |           61 |              71 |              78 |         70      |
| 568 | male     | White - Irish                      | high school                   | free/reduced | none               |           63 |              48 |              47 |         52.6667 |
| 569 | male     | Mixed - White and Black Caribbean  | bachelor's degree             | free/reduced | none               |           68 |              68 |              67 |         67.6667 |
| 570 | male     | White - Irish                      | some college                  | standard     | completed          |           71 |              75 |              70 |         72      |
| 571 | male     | White - British                    | bachelor's degree             | standard     | none               |           91 |              96 |              92 |         93      |
| 572 | female   | White - Any other White background | some college                  | standard     | none               |           53 |              62 |              56 |         57      |
| 573 | female   | White - Any other White background | high school                   | free/reduced | completed          |           50 |              66 |              64 |         60      |
| 574 | female   | Mixed - White and Black African    | high school                   | standard     | none               |           74 |              81 |              71 |         75.3333 |
| 575 | male     | White - British                    | associate's degree            | free/reduced | completed          |           40 |              55 |              53 |         49.3333 |
| 576 | male     | White - British                    | some college                  | standard     | completed          |           61 |              51 |              52 |         54.6667 |
| 577 | female   | White - Irish                      | high school                   | standard     | none               |           81 |              91 |              89 |         87      |
| 578 | female   | White - Irish                      | some college                  | free/reduced | completed          |           48 |              56 |              58 |         54      |
| 579 | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           53 |              61 |              68 |         60.6667 |
| 580 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           81 |              97 |              96 |         91.3333 |
| 581 | female   | Mixed - White and Black African    | some high school              | standard     | none               |           77 |              79 |              80 |         78.6667 |
| 582 | female   | Mixed - White and Black Caribbean  | bachelor's degree             | free/reduced | none               |           63 |              73 |              78 |         71.3333 |
| 583 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | completed          |           73 |              75 |              80 |         76      |
| 584 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           69 |              77 |              77 |         74.3333 |
| 585 | female   | White - Any other White background | associate's degree            | standard     | none               |           65 |              76 |              76 |         72.3333 |
| 586 | female   | White - British                    | high school                   | standard     | none               |           55 |              73 |              73 |         67      |
| 587 | female   | White - Any other White background | bachelor's degree             | free/reduced | none               |           44 |              63 |              62 |         56.3333 |
| 588 | female   | White - Any other White background | some college                  | standard     | none               |           54 |              64 |              65 |         61      |
| 589 | female   | White - British                    | some high school              | standard     | none               |           48 |              66 |              65 |         59.6667 |
| 590 | male     | White - Any other White background | some college                  | free/reduced | none               |           58 |              57 |              54 |         56.3333 |
| 591 | male     | White - British                    | some high school              | standard     | none               |           71 |              62 |              50 |         61      |
| 592 | male     | Mixed - White and Black African    | bachelor's degree             | standard     | none               |           68 |              68 |              64 |         66.6667 |
| 593 | female   | Mixed - White and Black African    | high school                   | standard     | none               |           74 |              76 |              73 |         74.3333 |
| 594 | female   | White - Any other White background | bachelor's degree             | standard     | completed          |           92 |             100 |              99 |         97      |
| 595 | female   | White - Any other White background | bachelor's degree             | standard     | completed          |           56 |              79 |              72 |         69      |
| 596 | male     | White - Irish                      | high school                   | free/reduced | none               |           30 |              24 |              15 |         23      |
| 597 | male     | White - British                    | some high school              | standard     | none               |           53 |              54 |              48 |         51.6667 |
| 598 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           69 |              77 |              73 |         73      |
| 599 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           65 |              82 |              81 |         76      |
| 600 | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           54 |              60 |              63 |         59      |
| 601 | female   | White - Any other White background | high school                   | standard     | none               |           29 |              29 |              30 |         29.3333 |
| 602 | female   | Mixed - White and Black African    | some college                  | standard     | none               |           76 |              78 |              80 |         78      |
| 603 | male     | Mixed - White and Black Caribbean  | high school                   | free/reduced | none               |           60 |              57 |              51 |         56      |
| 604 | male     | Mixed - White and Black Caribbean  | master's degree               | free/reduced | completed          |           84 |              89 |              90 |         87.6667 |
| 605 | male     | White - Any other White background | some high school              | standard     | none               |           75 |              72 |              62 |         69.6667 |
| 606 | female   | White - Any other White background | associate's degree            | standard     | none               |           85 |              84 |              82 |         83.6667 |
| 607 | female   | White - Any other White background | master's degree               | free/reduced | none               |           40 |              58 |              54 |         50.6667 |
| 608 | female   | Mixed - White and Black African    | some college                  | standard     | none               |           61 |              64 |              62 |         62.3333 |
| 609 | female   | White - Irish                      | associate's degree            | standard     | none               |           58 |              63 |              65 |         62      |
| 610 | male     | Mixed - White and Black Caribbean  | some college                  | free/reduced | completed          |           69 |              60 |              63 |         64      |
| 611 | female   | White - Any other White background | some college                  | standard     | none               |           58 |              59 |              66 |         61      |
| 612 | male     | White - Any other White background | bachelor's degree             | standard     | completed          |           94 |              90 |              91 |         91.6667 |
| 613 | female   | White - Any other White background | associate's degree            | standard     | none               |           65 |              77 |              74 |         72      |
| 614 | female   | White - British                    | associate's degree            | standard     | none               |           82 |              93 |              93 |         89.3333 |
| 615 | female   | White - Any other White background | high school                   | standard     | none               |           60 |              68 |              72 |         66.6667 |
| 616 | female   | Mixed - White and Black African    | bachelor's degree             | standard     | none               |           37 |              45 |              38 |         40      |
| 617 | male     | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | none               |           88 |              78 |              83 |         83      |
| 618 | male     | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           95 |              81 |              84 |         86.6667 |
| 619 | male     | White - Any other White background | associate's degree            | free/reduced | completed          |           65 |              73 |              68 |         68.6667 |
| 620 | female   | White - Any other White background | high school                   | free/reduced | none               |           35 |              61 |              54 |         50      |
| 621 | male     | White - Irish                      | bachelor's degree             | free/reduced | none               |           62 |              63 |              56 |         60.3333 |
| 622 | male     | White - Any other White background | high school                   | free/reduced | completed          |           58 |              51 |              52 |         53.6667 |
| 623 | male     | White - British                    | some college                  | standard     | completed          |          100 |              96 |              86 |         94      |
| 624 | female   | Mixed - White and Black African    | bachelor's degree             | free/reduced | none               |           61 |              58 |              62 |         60.3333 |
| 625 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |          100 |              97 |              99 |         98.6667 |
| 626 | male     | White - Irish                      | associate's degree            | free/reduced | completed          |           69 |              70 |              63 |         67.3333 |
| 627 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           61 |              48 |              46 |         51.6667 |
| 628 | male     | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           49 |              57 |              46 |         50.6667 |
| 629 | female   | White - Any other White background | some high school              | standard     | completed          |           44 |              51 |              55 |         50      |
| 630 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           67 |              64 |              70 |         67      |
| 631 | male     | White - Irish                      | high school                   | standard     | none               |           79 |              60 |              65 |         68      |
| 632 | female   | White - Irish                      | bachelor's degree             | standard     | completed          |           66 |              74 |              81 |         73.6667 |
| 633 | female   | White - Any other White background | high school                   | standard     | none               |           75 |              88 |              85 |         82.6667 |
| 634 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           84 |              84 |              80 |         82.6667 |
| 635 | male     | White - British                    | high school                   | standard     | none               |           71 |              74 |              64 |         69.6667 |
| 636 | female   | White - Irish                      | high school                   | free/reduced | completed          |           67 |              80 |              81 |         76      |
| 637 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | completed          |           80 |              92 |              88 |         86.6667 |
| 638 | male     | Mixed - White and Black African    | some college                  | standard     | none               |           86 |              76 |              74 |         78.6667 |
| 639 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           76 |              74 |              73 |         74.3333 |
| 640 | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           41 |              52 |              51 |         48      |
| 641 | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | completed          |           74 |              88 |              90 |         84      |
| 642 | female   | White - Irish                      | some high school              | free/reduced | none               |           72 |              81 |              79 |         77.3333 |
| 643 | female   | Mixed - White and Black African    | high school                   | standard     | completed          |           74 |              79 |              80 |         77.6667 |
| 644 | male     | White - Irish                      | high school                   | standard     | none               |           70 |              65 |              60 |         65      |
| 645 | female   | White - Irish                      | bachelor's degree             | standard     | completed          |           65 |              81 |              81 |         75.6667 |
| 646 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           59 |              70 |              65 |         64.6667 |
| 647 | female   | Mixed - White and Black African    | high school                   | free/reduced | none               |           64 |              62 |              68 |         64.6667 |
| 648 | female   | White - Irish                      | high school                   | standard     | none               |           50 |              53 |              55 |         52.6667 |
| 649 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           69 |              79 |              81 |         76.3333 |
| 650 | male     | White - Any other White background | some high school              | free/reduced | completed          |           51 |              56 |              53 |         53.3333 |
| 651 | female   | White - British                    | high school                   | standard     | completed          |           68 |              80 |              76 |         74.6667 |
| 652 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           85 |              86 |              98 |         89.6667 |
| 653 | female   | White - British                    | associate's degree            | standard     | completed          |           65 |              70 |              74 |         69.6667 |
| 654 | female   | White - Irish                      | some high school              | standard     | none               |           73 |              79 |              79 |         77      |
| 655 | female   | White - Irish                      | some college                  | standard     | none               |           62 |              67 |              67 |         65.3333 |
| 656 | male     | White - Any other White background | associate's degree            | free/reduced | none               |           77 |              67 |              64 |         69.3333 |
| 657 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           69 |              66 |              61 |         65.3333 |
| 658 | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           43 |              60 |              58 |         53.6667 |
| 659 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           90 |              87 |              85 |         87.3333 |
| 660 | male     | White - Any other White background | some college                  | free/reduced | none               |           74 |              77 |              73 |         74.6667 |
| 661 | male     | White - Any other White background | some high school              | standard     | none               |           73 |              66 |              63 |         67.3333 |
| 662 | female   | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           55 |              71 |              69 |         65      |
| 663 | female   | White - Any other White background | high school                   | standard     | none               |           65 |              69 |              67 |         67      |
| 664 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           80 |              63 |              63 |         68.6667 |
| 665 | female   | White - Any other White background | some high school              | free/reduced | completed          |           50 |              60 |              60 |         56.6667 |
| 666 | female   | White - Any other White background | some college                  | free/reduced | completed          |           63 |              73 |              71 |         69      |
| 667 | female   | White - Irish                      | bachelor's degree             | free/reduced | none               |           77 |              85 |              87 |         83      |
| 668 | male     | White - Any other White background | some college                  | standard     | none               |           73 |              74 |              61 |         69.3333 |
| 669 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | completed          |           81 |              72 |              77 |         76.6667 |
| 670 | female   | White - Any other White background | high school                   | free/reduced | none               |           66 |              76 |              68 |         70      |
| 671 | male     | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           52 |              57 |              50 |         53      |
| 672 | female   | White - Any other White background | some college                  | standard     | none               |           69 |              78 |              76 |         74.3333 |
| 673 | female   | White - Any other White background | associate's degree            | standard     | completed          |           65 |              84 |              84 |         77.6667 |
| 674 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | completed          |           69 |              77 |              78 |         74.6667 |
| 675 | female   | White - Irish                      | some college                  | standard     | completed          |           50 |              64 |              66 |         60      |
| 676 | female   | Mixed - White and Black African    | some college                  | standard     | completed          |           73 |              78 |              76 |         75.6667 |
| 677 | female   | White - Any other White background | some high school              | standard     | completed          |           70 |              82 |              76 |         76      |
| 678 | male     | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           81 |              75 |              78 |         78      |
| 679 | male     | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           63 |              61 |              60 |         61.3333 |
| 680 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           67 |              72 |              74 |         71      |
| 681 | male     | White - Irish                      | high school                   | standard     | none               |           60 |              68 |              60 |         62.6667 |
| 682 | male     | White - Irish                      | high school                   | standard     | none               |           62 |              55 |              54 |         57      |
| 683 | female   | White - Any other White background | some high school              | free/reduced | completed          |           29 |              40 |              44 |         37.6667 |
| 684 | male     | White - Irish                      | some college                  | standard     | completed          |           62 |              66 |              68 |         65.3333 |
| 685 | female   | Mixed - White and Black African    | master's degree               | standard     | completed          |           94 |              99 |             100 |         97.6667 |
| 686 | male     | Mixed - White and Black African    | some college                  | standard     | completed          |           85 |              75 |              68 |         76      |
| 687 | male     | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           77 |              78 |              73 |         76      |
| 688 | male     | White - British                    | high school                   | free/reduced | none               |           53 |              58 |              44 |         51.6667 |
| 689 | male     | Mixed - White and Black African    | some college                  | free/reduced | none               |           93 |              90 |              83 |         88.6667 |
| 690 | female   | White - Any other White background | associate's degree            | standard     | none               |           49 |              53 |              53 |         51.6667 |
| 691 | female   | Mixed - White and Black African    | associate's degree            | free/reduced | none               |           73 |              76 |              78 |         75.6667 |
| 692 | female   | White - Any other White background | bachelor's degree             | free/reduced | completed          |           66 |              74 |              81 |         73.6667 |
| 693 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           77 |              77 |              73 |         75.6667 |
| 694 | female   | White - Any other White background | some high school              | standard     | none               |           49 |              63 |              56 |         56      |
| 695 | female   | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           79 |              89 |              86 |         84.6667 |
| 696 | female   | White - Any other White background | associate's degree            | standard     | completed          |           75 |              82 |              90 |         82.3333 |
| 697 | female   | White - British                    | bachelor's degree             | standard     | none               |           59 |              72 |              70 |         67      |
| 698 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | completed          |           57 |              78 |              79 |         71.3333 |
| 699 | male     | White - Any other White background | high school                   | free/reduced | none               |           66 |              66 |              59 |         63.6667 |
| 700 | female   | Mixed - White and Black African    | bachelor's degree             | standard     | completed          |           79 |              81 |              82 |         80.6667 |
| 701 | female   | White - Irish                      | some high school              | standard     | none               |           57 |              67 |              72 |         65.3333 |
| 702 | male     | White - British                    | bachelor's degree             | standard     | completed          |           87 |              84 |              87 |         86      |
| 703 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           63 |              64 |              67 |         64.6667 |
| 704 | female   | White - Irish                      | some high school              | free/reduced | completed          |           59 |              63 |              64 |         62      |
| 705 | male     | White - British                    | bachelor's degree             | free/reduced | none               |           62 |              72 |              65 |         66.3333 |
| 706 | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           46 |              34 |              36 |         38.6667 |
| 707 | male     | White - Any other White background | some college                  | standard     | none               |           66 |              59 |              52 |         59      |
| 708 | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           89 |              87 |              79 |         85      |
| 709 | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | completed          |           42 |              61 |              58 |         53.6667 |
| 710 | male     | White - Any other White background | some college                  | standard     | completed          |           93 |              84 |              90 |         89      |
| 711 | female   | Mixed - White and Black African    | some high school              | standard     | completed          |           80 |              85 |              85 |         83.3333 |
| 712 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           98 |             100 |              99 |         99      |
| 713 | male     | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           81 |              81 |              84 |         82      |
| 714 | female   | White - Irish                      | some high school              | standard     | completed          |           60 |              70 |              74 |         68      |
| 715 | female   | White - Irish                      | associate's degree            | free/reduced | completed          |           76 |              94 |              87 |         85.6667 |
| 716 | male     | White - Any other White background | associate's degree            | standard     | completed          |           73 |              78 |              72 |         74.3333 |
| 717 | female   | White - Any other White background | associate's degree            | standard     | completed          |           96 |              96 |              99 |         97      |
| 718 | female   | White - Any other White background | high school                   | standard     | none               |           76 |              76 |              74 |         75.3333 |
| 719 | male     | Mixed - White and Black African    | associate's degree            | free/reduced | completed          |           91 |              73 |              80 |         81.3333 |
| 720 | female   | White - Any other White background | some college                  | free/reduced | none               |           62 |              72 |              70 |         68      |
| 721 | male     | Mixed - White and Black Caribbean  | some high school              | free/reduced | completed          |           55 |              59 |              59 |         57.6667 |
| 722 | female   | White - Irish                      | some high school              | free/reduced | completed          |           74 |              90 |              88 |         84      |
| 723 | male     | White - Any other White background | high school                   | standard     | none               |           50 |              48 |              42 |         46.6667 |
| 724 | male     | White - Irish                      | some college                  | standard     | none               |           47 |              43 |              41 |         43.6667 |
| 725 | male     | Mixed - White and Black African    | some college                  | standard     | completed          |           81 |              74 |              71 |         75.3333 |
| 726 | female   | Mixed - White and Black African    | associate's degree            | standard     | completed          |           65 |              75 |              77 |         72.3333 |
| 727 | male     | Mixed - White and Black African    | some high school              | standard     | completed          |           68 |              51 |              57 |         58.6667 |
| 728 | female   | Mixed - White and Black Caribbean  | high school                   | free/reduced | none               |           73 |              92 |              84 |         83      |
